customer_tweet_id,customer_text,customer_author_id,customer_created_at,support_tweet_id,support_text,support_created_at,response_tweet_id
1762910,@AppleSupport I made a mistake on the engraving for my iPad. Can you help??,156508,Sat Nov 25 05:38:15 +0000 2017,1762909,@156508 We can get you pointed in the right direction here. Let's pair up in DM to get a closer look at what's happening. https://t.co/GDrqU22YpT,Sat Nov 25 13:31:00 +0000 2017,
1341790,.@AppleSupport : please fix iOS 11.0.3. It is absolutely terrible - phone freezes &amp; battery drains. Other iPhone users agree.,432967,Fri Oct 27 12:17:30 +0000 2017,1341789,@432967 We can help you out. DM us and let us know the model iPhone you're using to start. https://t.co/GDrqU22YpT,Fri Oct 27 15:48:36 +0000 2017,
566713,"@AppleSupport I know my account isn’t hacked or anything, someone would have to be on my phone to do this. I can’t cancel them, and I have no idea how they got there.",252872,Sun Dec 03 01:28:28 +0000 2017,566711,@252872 We'll be happy to assist as best we can. When did you see this start to happen?,Sun Dec 03 01:43:00 +0000 2017,566712
1630138,"My phone is acting up 😑 overheating, no notification sounds or banner, freezing up, &amp; acting very slow @AppleSupport #iPhone6",498945,Sun Nov 05 16:23:51 +0000 2017,1630136,@498945 We can help you with these issues. Which model of device and iOS version are you using?,Sun Nov 05 19:40:44 +0000 2017,1630137
966821,@115858 just because the 8 is out does not mean my 7+ should be having issues 🤦🏾‍♀️,349461,Sat Oct 21 22:19:04 +0000 2017,966820,@349461 We'd like to help. What issues are you having?,Sun Oct 22 00:13:30 +0000 2017,
543675,This is happening with every app that has daily reminders. Not @246284’s fault. But indeed; disabling notifications for Headspace did the trick for me ✌️Will enable again as soon as @115858 releases a fix! https://t.co/yMELWXReCy,246283,Sat Dec 02 08:32:25 +0000 2017,543674,"@246283 We're here to help. An update has been released that addresses this issue. If you haven't already, back up your iPhone and follow the steps here: https://t.co/osZOKKTalm

DM us if you have questions. https://t.co/GDrqU22YpT",Sat Dec 02 16:31:01 +0000 2017,
1539278,@AppleSupport hi I’ve got my I phone x in the keynote there was video of a game you can use. What’s the app called ?,424003,Fri Nov 03 21:36:58 +0000 2017,1539276,@424003 We hope you love your new iPhone X! Do you mean the multiplayer game that was featured in the segment about Augmented Reality?,Sat Nov 04 01:53:00 +0000 2017,1539277
1159426,@AppleSupport brand new MacBook keeps going offline &amp; dropping Skype calls for work. My internet connection on other devices is just fine.,392755,Tue Oct 24 15:59:56 +0000 2017,1159424,@392755 Let's work together to find a solution. Are you noticing this issue on multiple networks or just this one Wi-Fi?,Tue Oct 24 16:31:09 +0000 2017,1159425
763629,@AppleSupport Two to phones both had start talk on them why is it not supporting the card,302490,Wed Oct 11 22:15:29 +0000 2017,763630,@302490 You will want to reach out to your carrier for further assistance.,Wed Oct 11 22:32:00 +0000 2017,
550821,"@115858 , plenty of us have iPhones restarting every 2 minutes...looks like an iOS 11.1 date bug (it's now December 2 and the clock is fabulously broken). Completely unacceptable. Where the heck is your software quality control? This is malpractice level bad programming.",248327,Sat Dec 02 13:09:49 +0000 2017,550820,@248327 We've seen the reports and have a guide for addressing the concern. We actually released iOS 11.2 today to release new features and patch things as necessary. Check out our guide regarding the restart issue here: https://t.co/osZOKKTalm DM us any questions. https://t.co/GDrqU22YpT,Sat Dec 02 18:47:28 +0000 2017,
646932,@270260 @AppleSupport same here. blue tooth association seems to also take very very long,273663,Wed Nov 22 18:14:27 +0000 2017,646931,@273663 We're here for you as well. Send us a DM with more information about any issues you're experiencing. We'll work through those with you. https://t.co/GDrqU22YpT,Wed Nov 22 18:34:38 +0000 2017,
787427,"@116333 After finally paying them off, my gf’s and my iPhone 6’s batteries both shit the bed in the last week. Coincidence?",134542,Thu Oct 12 12:38:38 +0000 2017,787426,@134542 Have you recently checked for any new updates on your device? Go ahead and send us a DM to continue. https://t.co/GDrqU22YpT,Thu Oct 12 12:43:00 +0000 2017,
1496723,"@AppleSupport i can’t purchase diamond in mobile legend, how to fix it? https://t.co/0C0Lq6weMQ",467488,Fri Nov 03 09:53:41 +0000 2017,1496722,@467488 We received your DM and you'll see a response there shortly.,Fri Nov 03 12:22:01 +0000 2017,
1052457,@AppleSupport I also got this one &amp; never used it set up apple pay or wallet on my iPhone. Please help me STOP this garbage! Thanks! https://t.co/xIRaNs9afn,368721,Tue Oct 24 17:12:14 +0000 2017,1052459,@368721 We're here to help! Check out this article: https://t.co/qtyk71JfU1,Tue Oct 24 17:40:36 +0000 2017,
637415,My iPhone 6 is officially garbage after the new iOS update. These guys @115858 really not about that backwards compatibility.,271136,Wed Nov 22 19:30:53 +0000 2017,637414,"@271136 We'd be happy to look into any issues you're experiencing with your iPhone. To start, DM us some additional information about what's going on and we'll continue from there. https://t.co/GDrqU22YpT",Wed Nov 22 19:37:00 +0000 2017,637413
1532249,@115858 really forcing people to upgrade. Y’all did two updates and it’s still got my phone running shitty,475279,Fri Nov 03 15:29:23 +0000 2017,1532248,@475279 We want your iPhone working as it should. Let's meet up in DM to find the best steps to move forward. https://t.co/GDrqU22YpT,Fri Nov 03 20:33:30 +0000 2017,
548039,@AppleSupport Clock icon froze again. iOS has a bug.,247515,Sat Dec 02 12:06:31 +0000 2017,548038,@247515 We appreciate the update and are glad you reached back out. iOS 11.2 was released very recently. Let's back up and update if you haven’t done so already. Please meet us in DM with the results. https://t.co/GDrqU22YpT,Sat Dec 02 18:11:32 +0000 2017,
753003,Having to soft reset my #iPhone8Plus at least once a day due to an unresponsive home screen. Anyone else? @AppleSupport,299965,Wed Oct 11 12:10:17 +0000 2017,753002,"@299965 Let's look into this. Have you updated to 11.0.2 yet? https://t.co/80YRnjDFDk Send us a DM, please. https://t.co/GDrqU22YpT",Wed Oct 11 14:41:30 +0000 2017,
1447291,@AppleSupport Everything ☹️,442650,Thu Nov 02 16:22:44 +0000 2017,1447293,@442650 We'd love to help get this resolved. Send us a DM and let us know what's going on if you'd like us to do that. https://t.co/GDrqU22YpT,Thu Nov 02 18:11:00 +0000 2017,
1483636,"Okay whatever the hell this @AppleSupport glitch is, is actually so irritating like what the hell is it",186029,Fri Nov 03 02:00:53 +0000 2017,1483635,@186029 We're here to help. DM us what you are having issues with. https://t.co/GDrqU22YpT,Fri Nov 03 02:48:56 +0000 2017,
546598,Hello @AppleSupport . My iPhone X become warm when connected in 3G. The problem doesn’t exist when connected in 4G or WIFI. Is it a know problem?,247105,Sat Dec 02 10:44:23 +0000 2017,546597,@247105 Thanks for reaching out. We're happy to look into this with you. Please DM us and let us know which part of the device is warming up and if you ever receive any temperature alerts. What is your current iOS version? Find it at Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,Sat Dec 02 17:31:00 +0000 2017,
1103696,"@115858 super cool that all my apps crash, camera won’t open, can’t change volume, &amp; phone randomly restarts since the new update. Nice one.",380445,Mon Oct 23 23:49:43 +0000 2017,1103695,@380445 Let's take a look at this together. We'd like to continue the conversation in DM. https://t.co/GDrqU22YpT,Mon Oct 23 23:59:27 +0000 2017,
1458723,@458584 @AppleSupport #sendhelp it’s been driving me crazy 😭,458583,Fri Nov 03 19:51:50 +0000 2017,1458722,"@458583 Hey, we can offer you some guidance. DM us the iOS version and we'll continue there. https://t.co/GDrqU22YpT",Fri Nov 03 23:56:30 +0000 2017,
639757,@115858 thanks for making my phone suck donkeys nerds. You’re intentionally trying to force everyone to buy the X by f’ng with the software. Dicks.,271746,Wed Nov 22 19:56:41 +0000 2017,639756,"@271746 Hey there. We'd like to look into the issues you're having and find a solution with you. DM us what issues you've experienced so far, and we'll go from there together. https://t.co/GDrqU22YpT",Wed Nov 22 20:10:00 +0000 2017,
1019389,"Since updating to iOS 11.0.3 my phone (6s) does nothing but freeze and constantly delete then restore my photos, please help? @AppleSupport",361205,Sun Oct 22 21:16:40 +0000 2017,1019388,@361205 We'll be happy to help with your iPhone. Are specific apps unresponsive? Please DM us here: https://t.co/GDrqU22YpT,Sun Oct 22 22:18:00 +0000 2017,
993294,"@AppleSupport Siri won’t work, i can’t dictate on whatsapp, the alarm doesn’t make any sound, phone sometimes freezes...",355302,Sun Oct 22 16:36:56 +0000 2017,993296,@355302 Let's work on a solution together. Please send us a DM with the country where you're located to continue. https://t.co/GDrqU22YpT,Sun Oct 22 17:53:29 +0000 2017,
1168448,Now I have lost hope on counting how many settings on iOS11 I turned off and they have unsolicitedly came back on again @AppleSupport,394840,Sun Oct 15 09:44:35 +0000 2017,1168446,"@394840 We'd like to look into this together. What kind of device do you have, and what issues have you noticed with Settings?",Sun Oct 15 14:10:00 +0000 2017,1168447
1130560,"@AppleSupport No, Phone unlock screen off and then after a while, the wireless connection is cut off when.",386439,Sun Oct 15 14:52:41 +0000 2017,1130562,"@386439 If we understand correctly, the Wi-Fi signal drops on the iPhone. If that's correct, let's start here: https://t.co/sXbhzfAqXc",Sun Oct 15 15:51:00 +0000 2017,
1120633,@AppleSupport did 43 mins of exercise but apple activity tracker recorded only 2 mins.. frustrating https://t.co/ZLG7ds25Hx,384368,Sun Oct 15 04:42:22 +0000 2017,1120631,@384368 We'd be happy to see how we can help. Which device and OS version are you currently using?,Sun Oct 15 12:59:31 +0000 2017,1120632
1037665,@AppleSupport I have had so many issues with my IPhone 6s Plus since I updated my phone to iOS 11.0.3. I need assistance.,365472,Mon Oct 23 01:48:49 +0000 2017,1037664,@365472 We'd be happy to assist with issues with iOS 11. Can you please message us in DM? https://t.co/GDrqU22YpT,Mon Oct 23 02:23:30 +0000 2017,
1502969,omgggg my phone keeps saying no sim @applesupport @117735 fix this before i️ have b.f,388964,Fri Nov 03 08:41:33 +0000 2017,1502968,@388964 We want to get this taken care of for you. Have you had a chance to check out the info here? https://t.co/UTP2qBi1Is Tell us in a DM.,Fri Nov 03 15:55:38 +0000 2017,
954220,Cc:  @AppleSupport https://t.co/Apfs6wkQSc,346415,Sat Oct 21 19:22:43 +0000 2017,954218,@346415 Let's take a look together. Which macOS &amp; iOS versions are installed on your Mac and iPhone?,Sat Oct 21 21:09:26 +0000 2017,954219
1502983,@AppleSupport Okay.,468836,Fri Nov 03 21:49:42 +0000 2017,1502984,"@468836 Thank you. If you continue to experience any issues, please meet us in DM. https://t.co/GDrqU22YpT",Sat Nov 04 01:58:27 +0000 2017,
1155240,@AppleSupport my phone has been dying faster than imaginable and freezing constantly since iOS 11.0.3 what’s your proBLEM DUDE FIX IT,391762,Tue Oct 24 17:14:05 +0000 2017,1155239,@391762 We definitely want to look into this issue with you. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,Tue Oct 24 17:53:29 +0000 2017,
543641,"@115858 store in Westfield Stratford!  I send you my laptop for you to fix. I get my laptop back. After 3 days, we are right back to where we started. Laptop is broke again! What is this? How much money are you making to not fix your own equipment properly.",246271,Sat Dec 02 09:04:30 +0000 2017,543640,"@246271 Hi. We are here to help. Send us a DM, and we’ll take a look into this https://t.co/GDrqU22YpT",Sat Dec 02 16:39:01 +0000 2017,
712077,"@AppleSupport No. I push play on podcast, it plays it. Then I turn radio up on headphones, car, etc and it goes to my music.",290289,Tue Oct 10 23:31:18 +0000 2017,712079,"@290289 Got it. Can you tell us which steps you've tried so far? This way, we won't have you do any steps over again.",Wed Oct 11 00:17:00 +0000 2017,
1466149,@AppleSupport I’ll try out the new sim on receipt and take it from there. Thank you..,176755,Thu Nov 02 19:47:18 +0000 2017,1466151,@176755 Sounds like a plan. Thanks for tweeting with us and have a great rest of your day!,Thu Nov 02 22:16:00 +0000 2017,
1153864,@115858 my phone has been acting weird since this update 😩,391474,Tue Oct 24 17:02:09 +0000 2017,1153862,"@391474 Let's work to get that resolved. What seems to be going on with your iPhone? Also, which version of iOS is installed?",Tue Oct 24 17:36:00 +0000 2017,1153863
1110818,@AppleSupport is this pop up really from Apple? https://t.co/ioVEbSOufK,382170,Tue Oct 24 01:42:05 +0000 2017,1110816,@382170 Thanks for reaching out to us. We're here to help. Please check out his link: https://t.co/LNMCdqt6fD,Tue Oct 24 01:54:00 +0000 2017,1110817
943597,@AppleSupport WHY DOES MY WIFI KEEP TURNING ON BY ITSELF AFTER iOS 11 UPDATE?? Urgent,343721,Sat Oct 21 07:34:34 +0000 2017,943596,@343721 You can refer to the following article on how to manage Wi-Fi in iOS 11: https://t.co/G7BHuQnDS6,Sat Oct 21 16:30:01 +0000 2017,
1496062,There’s a glitch with this new update. How come I️ can’t put the letter “I️” without it making a box 🧐 @115858,467347,Fri Nov 03 03:00:33 +0000 2017,1496061,@467347 We'd like to help. Send us a DM so we can discuss this issue together. https://t.co/GDrqU22YpT,Fri Nov 03 12:07:00 +0000 2017,
548120,"iOS 11.2 bug!! Only blurred photos in camera app on 8 plus - video:
https://t.co/nAUZ5grVTZ

#iOS #11.2 #apple #bug 
@AppleSupport",247541,Sat Dec 02 11:29:44 +0000 2017,548119,@247541 We want to help. Meet us in DM. https://t.co/GDrqU22YpT,Sat Dec 02 17:54:57 +0000 2017,
956370,@AppleSupport It happens whenever I send a normal text message to a someone without an iPhone. The ‘ makes the character limit drop to 70.,346919,Sat Oct 21 21:58:00 +0000 2017,956372,@346919 Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,Sat Oct 21 23:57:00 +0000 2017,
1492373,@AppleSupport my music or podcasts I listen to just randomly stop after updating to #ios11.1 please fix this!,466566,Sat Nov 04 19:44:25 +0000 2017,1492372,"@466566 We’d love to help. To start, is the content you are playing streaming? Or, is the content downloaded to your device?",Sat Nov 04 23:43:27 +0000 2017,1492371
1488892,ayo @115858 @AppleSupport what...is this  i️ i️ i️ i️ i️ i️??,465818,Fri Nov 03 04:03:52 +0000 2017,1488891,@465818 We are here to help. DM us your exact iOS version and we can take a look. https://t.co/GDrqU22YpT,Fri Nov 03 13:22:29 +0000 2017,
684378,"@AppleSupport Hi I have a question about purchasing a MacBook, could I DM you?",283333,Thu Oct 05 18:04:29 +0000 2017,684377,@283333 Hi! Our Apple Online Store is better able to answer Mac purchasing questions. You can contact them here: https://t.co/8yjRd1Xo0i,Thu Oct 05 18:51:28 +0000 2017,
1488875,"is my iPhone the only one that shows some weird emoji / symbol every time the letter “I️” is typed? 

please help 😅 @115858",465813,Fri Nov 03 04:09:26 +0000 2017,1488874,@465813 Let's get to the bottom of this together. DM us and we'll continue. https://t.co/GDrqU22YpT,Fri Nov 03 13:25:47 +0000 2017,
668539,@115858 I find it very frustrating that my perfectly fine 6s keeps freezing and acting up every time I use it now. Not everybody has money to upgrade every single year... don’t give out the new iOS for older phones if it can’t support it fully...,279406,Thu Nov 23 04:12:55 +0000 2017,668537,@279406 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,Thu Nov 23 04:24:00 +0000 2017,668538
1063164,"@115858, I just made a 1080 video in #iMovie. Shared it via #iMessage with friends. They received horrible #quality of it in #iOS11 https://t.co/6ijNbdsD2r",227780,Mon Oct 23 09:19:46 +0000 2017,1063163,"@227780 Having your memories watchable in HD is absolutely important! For help, contact our Applications Team via https://t.co/IBIY3vMgPj",Mon Oct 23 13:47:37 +0000 2017,
954200,Sooooooo @AppleSupport why are my text messages not coming through 😒🤔,346408,Sat Oct 21 19:24:51 +0000 2017,954199,@346408 Let’s look into this together. Which device and version of iOS are you using? Are you able to successfully send messages?,Sat Oct 21 21:12:28 +0000 2017,
746051,@AppleSupport My iPhone sometimes dims when it’s on full brightness. It eventually goes back to full brightness. Is that normal?,156813,Wed Oct 11 15:22:15 +0000 2017,746049,@156813 Let's take a look into this. Which version of iOS are you using? Here's a guide with information: https://t.co/bkqEVCrK2l,Wed Oct 11 16:43:29 +0000 2017,746050
1465096,@460071 @115858 Did the iPhone update - now cannot access my contacts/emails as I have to verify via an email I cannot access!  Hopefully can at work...,460070,Tue Oct 17 06:45:58 +0000 2017,1465095,"@460070 Let's take a look. Are you experiencing this with your Apple ID/iCloud mail account? Let us know more in DM, please. https://t.co/GDrqU22YpT",Tue Oct 17 12:58:32 +0000 2017,
974427,@351086 @AppleSupport No soy el único cuyo teléfono en perfecto estado se vio violentamente afectado por la actualización de mierda?,351085,Sun Oct 22 01:49:16 +0000 2017,974425,@351085 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Sun Oct 22 03:41:44 +0000 2017,974426
539859,"Wait, all of the songs I put on there aren’t included. The playlist I linked is missing 10 songs that I added. Hmm.. @115858 please help.",204117,Sat Dec 02 04:48:16 +0000 2017,539857,"@204117 We'd like to look into this with you. Were the songs purchased through iTunes, or downloaded from Apple Music?",Sat Dec 02 15:08:54 +0000 2017,539858
1513400,.@AppleSupport what’s the solution for this letter “I️” predictive text? It’s been on going for many. Buying a new phone isn’t an option. 🙄 https://t.co/DgIksFB6Zm,471168,Fri Nov 03 13:00:43 +0000 2017,1513399,@471168 Let’s take a look at what’s going on. Send us a DM with more details and we'll continue there. https://t.co/GDrqU22YpT,Fri Nov 03 18:14:35 +0000 2017,
1162112,@AppleSupport I have already done the DM but there was no response from tht side!! ☹️,393425,Tue Nov 07 13:45:28 +0000 2017,1162111,@393425 We would love to work with you. DM us and we'll get started: https://t.co/GDrqU22YpT,Tue Nov 07 16:47:41 +0000 2017,
751762,@115858 I want to update to the IOS 11 but I am uncertain about the performance. Please tell us more about the IOS11,299677,Wed Oct 11 17:02:12 +0000 2017,751760,@299677 We appreciate you reaching out to us. You can learn more about iOS 11 through this article: https://t.co/LVMJqqcDhs,Wed Oct 11 17:52:28 +0000 2017,751761
1075483,@AppleSupport hey y’all for the past 12 hours my phone has said “no service” or “searching” and i would appreciate some help,373746,Fri Oct 13 12:57:37 +0000 2017,1075482,@373746 We see the DM and will be replying there shortly.,Fri Oct 13 14:48:22 +0000 2017,
1021153,@AppleSupport No it’s everything this reply I type and the phone catches up in 20 seconds and just goes - it’s so bad,154184,Sat Oct 14 15:45:21 +0000 2017,1021151,@154184 We appreciate those details. Please send us a DM letting us know the exact iOS version you're using. https://t.co/GDrqU22YpT,Sat Oct 14 16:15:00 +0000 2017,1021152
935923,@AppleSupport Yeah it happens all the time. And not only that glitch. A lot of them.,341883,Sat Oct 21 18:13:22 +0000 2017,935925,"@341883 Thanks for letting us know. In DM, could you share a few more details about the issues you're experiencing. https://t.co/GDrqU22YpT",Sat Oct 21 20:26:36 +0000 2017,
1464367,@AppleSupport Please see my pictures in the original tweet. Also. My phone keeps freezing.,459691,Fri Nov 03 05:12:34 +0000 2017,1464371,"@459691 Thanks for keeping us updated. Are you running iOS 11.1? Meet us over in DM with more details, and we’ll work there. https://t.co/GDrqU22YpT",Fri Nov 03 14:08:31 +0000 2017,
