customer_tweet_id,customer_text,support_tweet_id,support_text,intent,escalation
2004305,@applesupport so y’all just not gon fix these boxes?,2004304,"@592700 We'd be happy to help. We'd like you to try our steps here and see if they work for you: https://t.co/QzF1SqVfn8
DM us any questions: https://t.co/GDrqU2kzhr",,
879308,@AppleSupport I am speaking to apple support on the phone No Luck yet,879309,@328749 Our phone advisors should be able to help you out! Let us know if you need anything else.,,
874779,Why won’t my phone auto lock?!! @AppleSupport and yes auto lock is turned on for 30seconds 😩,874777,@327684 We'd like to know what steps you're using to enable auto-lock. Thank you in advance.,,
798835,"@116333 @115858 @115948 I lost my AirPods charging case lifestyle went back to centuries ago, can you send me a new one? 😁 https://t.co/Qi9DFb017L",798834,"@310427 We can explore your options, DM us your current location and we'll see what we can do for you. https://t.co/GDrqU22YpT",,
556144,"@AppleSupport The quality of the photo is greatly degraded after changing the key frame and has been since the iOS 11 betas. Useless feature, IMHO.",583655,@257666 Thanks for reaching out to us about the issue you're seeing with Live Photos. We love this option and are happy to help. We'd recommend contacting our Photos team directly so they can take a deeper look. Click here to get started: https://t.co/IBIY3vMgPj,,
1550823,@115858 THIS UPDATE SUCKS!! IF IT CHANGES MY I TO ANOTHER QUESTION MARK EMOJI IM GONNA LOSE IT!!!!!,1550822,@479961 Let's look at this together. Please DM us. https://t.co/GDrqU22YpT,,
541136,@AppleSupport my iPhone 7 Plus keeps restarting. What should I do? It’s up to date completely?,541135,"@245532 We know how important it is to have your iPhone running properly, and we'd love to help. Please take a look at the steps listed here: https://t.co/osZOKKTalm  If you're still having trouble, let us know in DM. https://t.co/GDrqU22YpT",,
1188116,@AppleSupport iPhone 7 across all email accounts on the mail app. And the device has been restarted,1188118,@399401 What's the iOS version shown in Settings&gt; General&gt; About? Does it occur after using the device for a certain period of time?,,
849941,@115858 your #highsierra sucks! I lost a whole day work because since the update my MacBook Air keeps turning off.,849938,@321952 We would like to work with you to address this issue. Was this a one-day occurrence or is you Mac still unexpectedly power off?,,
1632396,My phone refuses to cool down since the new iOS update. @115858 is clearly wanting me to upgrade 🙄.,1632395,@499513 We want to help.  Send us a DM letting us know which country you are located in. https://t.co/GDrqU22YpT,,
872728,"Desde que actualicé a iOS 11 el teléfono está re lento, mas que nada cuando escribo. Gracias @AppleSupport",872726,@327195 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,
