customer_tweet_id,customer_text,customer_author_id,customer_created_at,support_tweet_id,support_text,support_created_at,response_tweet_id
2004305,@applesupport so y’all just not gon fix these boxes?,592700,Fri Nov 03 21:12:48 +0000 2017,2004304,"@592700 We'd be happy to help. We'd like you to try our steps here and see if they work for you: https://t.co/QzF1SqVfn8
DM us any questions: https://t.co/GDrqU2kzhr",Sat Nov 04 01:45:31 +0000 2017,
879308,@AppleSupport I am speaking to apple support on the phone No Luck yet,328749,Fri Oct 13 17:36:26 +0000 2017,879309,@328749 Our phone advisors should be able to help you out! Let us know if you need anything else.,Fri Oct 13 17:53:34 +0000 2017,
874779,Why won’t my phone auto lock?!! @AppleSupport and yes auto lock is turned on for 30seconds 😩,327684,Fri Oct 13 15:25:39 +0000 2017,874777,@327684 We'd like to know what steps you're using to enable auto-lock. Thank you in advance.,Fri Oct 13 16:14:30 +0000 2017,874778
798835,"@116333 @115858 @115948 I lost my AirPods charging case lifestyle went back to centuries ago, can you send me a new one? 😁 https://t.co/Qi9DFb017L",310427,Thu Oct 12 14:53:31 +0000 2017,798834,"@310427 We can explore your options, DM us your current location and we'll see what we can do for you. https://t.co/GDrqU22YpT",Thu Oct 12 15:25:13 +0000 2017,
556144,"@AppleSupport The quality of the photo is greatly degraded after changing the key frame and has been since the iOS 11 betas. Useless feature, IMHO.",257666,Sun Dec 03 06:39:12 +0000 2017,583655,@257666 Thanks for reaching out to us about the issue you're seeing with Live Photos. We love this option and are happy to help. We'd recommend contacting our Photos team directly so they can take a deeper look. Click here to get started: https://t.co/IBIY3vMgPj,Sun Dec 03 13:55:23 +0000 2017,
1550823,@115858 THIS UPDATE SUCKS!! IF IT CHANGES MY I TO ANOTHER QUESTION MARK EMOJI IM GONNA LOSE IT!!!!!,479961,Fri Nov 03 23:22:56 +0000 2017,1550822,@479961 Let's look at this together. Please DM us. https://t.co/GDrqU22YpT,Sat Nov 04 03:23:54 +0000 2017,
541136,@AppleSupport my iPhone 7 Plus keeps restarting. What should I do? It’s up to date completely?,245532,Sat Dec 02 06:22:50 +0000 2017,541135,"@245532 We know how important it is to have your iPhone running properly, and we'd love to help. Please take a look at the steps listed here: https://t.co/osZOKKTalm  If you're still having trouble, let us know in DM. https://t.co/GDrqU22YpT",Sat Dec 02 15:26:00 +0000 2017,
1188116,@AppleSupport iPhone 7 across all email accounts on the mail app. And the device has been restarted,399401,Wed Oct 25 00:43:40 +0000 2017,1188118,@399401 What's the iOS version shown in Settings&gt; General&gt; About? Does it occur after using the device for a certain period of time?,Wed Oct 25 00:59:55 +0000 2017,1188119
849941,@115858 your #highsierra sucks! I lost a whole day work because since the update my MacBook Air keeps turning off.,321952,Fri Oct 20 12:41:02 +0000 2017,849938,@321952 We would like to work with you to address this issue. Was this a one-day occurrence or is you Mac still unexpectedly power off?,Fri Oct 20 15:06:32 +0000 2017,"849939,849940"
1632396,My phone refuses to cool down since the new iOS update. @115858 is clearly wanting me to upgrade 🙄.,499513,Sun Nov 05 17:01:17 +0000 2017,1632395,@499513 We want to help.  Send us a DM letting us know which country you are located in. https://t.co/GDrqU22YpT,Sun Nov 05 20:03:00 +0000 2017,
872728,"Desde que actualicé a iOS 11 el teléfono está re lento, mas que nada cuando escribo. Gracias @AppleSupport",327195,Mon Oct 09 20:14:36 +0000 2017,872726,@327195 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,Mon Oct 09 20:56:36 +0000 2017,872727
865900,"@AppleSupport I have a problem with a print product I ordered through Photos for Mac OS, what’s the best point of contact?",325617,Fri Oct 13 07:22:32 +0000 2017,865899,"@325617 For support with Photos and Print Products, reach out to an expert here: https://t.co/IBIY3vMgPj",Fri Oct 13 13:38:00 +0000 2017,865897
768160,@AppleSupport the battery drainage on iOS 11.1 is terrible. Please fix this.,303462,Sat Oct 07 11:38:30 +0000 2017,768158,@303462 Let's look into this together. Could you DM us which iPhone you're using and we can begin from there?,Sat Oct 07 15:42:26 +0000 2017,768159
1074248,I'd really appreciate if my Macbook Pro would stop electrocuting me whilst charging... @115858,373458,Fri Oct 13 11:17:04 +0000 2017,1074247,@373458 That is certainly something we'd like to look into. Send us a DM and tell us more about what happened. https://t.co/GDrqU22YpT,Fri Oct 13 14:24:31 +0000 2017,
810176,Ffs constantly my iphone is spasming out or just freezes ...doing my head in @AppleSupport any chance you sort the bugs out and do an update,313040,Sun Oct 08 10:43:27 +0000 2017,810175,@313040 We want to pair up and work on this issue with you. DM us and we'll go from there. https://t.co/GDrqU22YpT,Sun Oct 08 15:41:26 +0000 2017,
857948,Please @AppleSupport I really need to stop saying the celebrity borefests and casual sexism of The Sun in my top or trending stories.,323734,Fri Oct 20 15:40:51 +0000 2017,857946,@323734 Let's help. Check out: https://t.co/oTuaMqVI3r for ways to control the content from your sources.,Fri Oct 20 16:49:28 +0000 2017,857947
875948,@115858 ios 11 made my phone bug and now its hella slow!! Sos,327973,Mon Oct 09 20:58:11 +0000 2017,875947,@327973 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,Mon Oct 09 21:48:00 +0000 2017,
