customer_tweet_id,customer_text,true_intent,predicted_intent,true_escalation,predicted_escalation,reply,evidence
2004305,@applesupport so y’all just not gon fix these boxes?,general_support,hardware_issue,auto,auto,We're here to help. DM us the exact issue you're currently having and we'll be happy to look into it with you.,"[{""customer_text"":""@AppleSupport fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fixit"",""support_text"":""@595731 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9"",""score"":34.48151124571427},{""customer_text"":""@AppleSupport FIX OUR PHONES! FIX OUR PHONES! FIX OUR PHONES! FIX OUR PHONES! FIX OUR PHONES! FIX OUR PHONES! FIX OUR PHONES! FIX OUR PHONES"",""support_text"":""@586498 Thanks for reaching out. DM us which device and software version you're experiencing this issue on. We'll start there. https://t.co/GDrqU22YpT"",""score"":25.433959662380005},{""customer_text"":""So yall just not gon fix these boxes? @115858"",""support_text"":""@590976 We're here to help.  DM us the exact issue you're currently having and we'll be happy to look into it with you. https://t.co/GDrqU22YpT"",""score"":24.233880858824648}]"
879308,@AppleSupport I am speaking to apple support on the phone No Luck yet,general_support,general_support,human,human,I’m sorry you’re having trouble getting help over the phone. Could you let me know the issue you’re experiencing so I can help you find the right support channel?,"[{""customer_text"":""@AppleSupport NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO!"",""support_text"":""@176541 Please send us a DM and we can continue our conversation there. Thanks. https://t.co/GDrqU22YpT"",""score"":362.0004347446973},{""customer_text"":""Astonishing! Apple performs iOS 11 update on my iPhone 7 then completely locks me out of my phone.  For two days I've spent 4 hours speaking to @AppleSupport folks in India, but to no avail. No acces to my phone. Crazy stuff. Price you pay for buying an expensive Apple device."",""support_text"":""@654852 We'd like to look into this with you, Rifat. Send us a DM and we'll continue there. https://t.co/GDrqU22YpT"",""score"":30.209936888967555},{""customer_text"":""@AppleSupport No updates for the apps, and when I went to talk to Apple Support it said “We do not have enough information to complete this request. If you would like to start a new support session, please close this window and return to the Apple support page.” It’s said that 5 times already."",""support_text"":""@669482 For further support, you'll want to reach out to our Apps specialists by phone. You may find this link helpful: https://t.co/1OxnSOXiWG"",""score"":28.961148769237056}]"
874779,Why won’t my phone auto lock?!! @AppleSupport and yes auto lock is turned on for 30seconds 😩,device_performance,general_support,human,auto,Thanks for reaching out about your Auto‑Lock issue. Could you let us know which iOS version you’re running (you can find it in Settings > General > About) and how long this has been happening? That will help us troubleshoot further.,"[{""customer_text"":""Auto brightness won’t turn off on my phone. It is broken. I can’t control it. Auto brightness is stuck on my phone and I can’t take it off. Auto brightness is broken. There isn’t even an option to turn auto brightness on or off. \nPlease fix auto brightness. @115858 @AppleSupport"",""support_text"":""@225299 We'd like to look into this with you. Let us know which iPhone you have, and when you first noticed the option wasn't working for you. Let us know what you see in DM when you try. https://t.co/GDrqU22YpT"",""score"":72.24815444860563},{""customer_text"":""@AppleSupport Im using iphone 6s..after update iOS 11.11.1 my phone auto pop pup n auto touch, auto type, auto col, n wen i scroll up or down my screen vibrat.. N fon become slow.. Pls assist me.."",""support_text"":""@667605 We'd love to help you with this. DM us and we'll go from there. https://t.co/GDrqU22YpT"",""score"":52.76260077855585},{""customer_text"":""@AppleSupport my auto lock doesn’t seem to work on my iPhone 8 anymore it’s set to auto lock after 1 minute but doesn’t do anything just stays lit"",""support_text"":""@681935 Thanks for reaching out about this issue. We'd be happy to help with getting your Auto-Lock working as expected. To verify, what version of iOS are you on? You can see that in Settings &gt; General &gt; About. Also, how long has this been going on now?"",""score"":48.8357612212522}]"
798835,"@116333 @115858 @115948 I lost my AirPods charging case lifestyle went back to centuries ago, can you send me a new one? 😁 https://t.co/Qi9DFb017L",hardware_issue,product_order_issue,human,human,"Thanks for reaching out. To help you with a replacement for your lost AirPods charging case, could you please send us a DM with your order number and the country you’re in?","[{""customer_text"":""hey @AppleSupport i have a 3rd party charging cable and my iPhone is like\n\ncharging\nnot charging\ncharging for 2 minutes\nnot charging for 1 minute\ncharging for half a second\nnot charging for half a second\n\nit starts getting on my nerves🙄"",""support_text"":""@745295 Is that cable Made for iPhone? You can find more about that here: https://t.co/UL0668bIG2 Let us know in DM to continue. https://t.co/GDrqU22YpT"",""score"":41.31012896990697},{""customer_text"":""@AppleSupport So I’ve reset my settings, got my battery case replace due to not charging and still have this battery issue with 11.2 Please get the bugs out of a iOS released over 2 months ago after months of betas. Phone not charging from case. https://t.co/G1ltHQnK8k"",""support_text"":""@252079 Let's take a look together. To start, which iPhone model do you have? You can send your answer in a DM. https://t.co/GDrqU22YpT"",""score"":35.8978330309518},{""customer_text"":""@AppleSupport No, the left one is not charging when i put it in the case, like there is a bad contact to the case look, they are both in the case https://t.co/ug5KWnIYzz"",""support_text"":""@741840 Let's look into our options then. Please send us a DM with the current country you're in. https://t.co/GDrqU22YpT"",""score"":35.21485648584692}]"
556144,"@AppleSupport The quality of the photo is greatly degraded after changing the key frame and has been since the iOS 11 betas. Useless feature, IMHO.",ios_update_issue,ios_update_issue,human,auto,Thanks for reaching out. Could you let us know which device you’re using and the exact iOS version? That will help us investigate the photo quality issue you’re seeing after changing the key frame.,"[{""customer_text"":""iOS 11\niOS 11.0.1\niOS 11.0.2\niOS 11.0.3\niOS 11.1\nIOS 11.1.1\niOS 11.1.2\nChance Nummer Sieben für Podcasts: vertan.\n@115858 @AppleSupport https://t.co/EW688vVApo"",""support_text"":""@622678 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj"",""score"":42.6527288479856},{""customer_text"":""@AppleSupport The control key is what pauses speech. Control key + Option key = VO modifier. VO+F8 does nothing. VO+A does nothing. VO+U does nothing. Control key doesn't stop speech. Command key has never done this, AFAIK."",""support_text"":""@126826 Let's move to DM for a closer look. When was the last time Voice Over worked as expected? https://t.co/GDrqU22YpT"",""score"":39.20744515801394},{""customer_text"":""@AppleSupport Ok, so I am using an 8 plus and running ios 11.1.2. I can share the photo's but only through the photo's app. I can't however choose a photo to use in a app while in another app for example changing a profile pic."",""support_text"":""@756126 Thanks for clarifying, can you send us a DM and tell us if you're seeing this issue in the Messages app as well? https://t.co/GDrqU22YpT"",""score"":32.754990670175545}]"
1550823,@115858 THIS UPDATE SUCKS!! IF IT CHANGES MY I TO ANOTHER QUESTION MARK EMOJI IM GONNA LOSE IT!!!!!,ios_update_issue,ios_update_issue,auto,auto,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,"[{""customer_text"":""@115858 how are you gonna have a glitch in your software update THATS MEANT TO FIX UR GLITCHES.. i can’t even update smh it jus says “preparing update” u guys are gonna lose to android real soon"",""support_text"":""@727567 Let's work on getting you updated. How long have you been seeing this screen during the update process?"",""score"":29.507512665681006},{""customer_text"":""@115858 your new update sucks! Everytime I️ use I️ in a sentence it changes to a ! And a box with a question mark inside!"",""support_text"":""@632631 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ"",""score"":27.408444444260663},{""customer_text"":""@115858 fix the bug that changes all of the I️’s to A ‘question mark emoji’ this is absurd!"",""support_text"":""@504054 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9"",""score"":25.706614652653126}]"
541136,@AppleSupport my iPhone 7 Plus keeps restarting. What should I do? It’s up to date completely?,device_performance,device_performance,human,auto,"Thanks for reaching out. To help, could you let us know which iOS version is on your iPhone? You can find it in Settings > General > About.","[{""customer_text"":""@AppleSupport on business trip to Ukraine with iPhone 7 Plus since Nov 2nd. iPhone X sitting boxed at home since Nov 3rd. Can’t ship the iPhone 7 Plus till I return on Dec 2nd. Got alert last date to ship back iPhone 7+ is Nov 20th. Help!"",""support_text"":""@756450 Let's take a closer look for you. Here's a link to DM us: https://t.co/GDrqU22YpT"",""score"":27.945085803948444},{""customer_text"":""@AppleSupport my iPhone 6S Plus keeps restarting every few minutes if I'm using my phone. It was working perfectly all day, but then about 30 minutes ago, as I was trying to text someone it kept restarting. Is there a fix for this????"",""support_text"":""@245921 We're glad you reached out to us and we’ll be happy to look into this with you. To begin, let us know which iOS version is on your iPhone. This can be found by going to Settings &gt; General &gt; About"",""score"":25.296520821367096},{""customer_text"":""@AppleSupport I was told by the Apple store to buy a iPhone 8 Plus case for my iPhone 7 Plus but its slips up and down, Can I still buy iPhone 7 Plus cases as I’m not very happy with the quality of this."",""support_text"":""@235809  We want to make sure we get you in the right direction.  Let's meet in DM to continue. https://t.co/GDrqU22YpT"",""score"":23.88498815228781}]"
1188116,@AppleSupport iPhone 7 across all email accounts on the mail app. And the device has been restarted,app_issue,app_issue,human,auto,@AppleSupport Could you describe what happens when you open the Mail app? Are you seeing any error messages or is it just not loading any emails? Let us know so we can help troubleshoot further.,"[{""customer_text"":""@AppleSupport I face trouble adding Exchange account to my iPhone Mail App but works fine on the Mail App on my Mac. In Addition to that, the Push on my mail app does not work.\nHave trouble with iTunes as well."",""support_text"":""@159435 We're glad to assist here. Let's look at one thing at a time. What's going on with iTunes?"",""score"":35.26294046898103},{""customer_text"":""@AppleSupport Correct. This may happen on all 8 email accounts... I know for sure that it’s happening on my hotmail email account, since there are 500 emails I deleted on my MacBook that continue showing as unread on my iPhone mail app. iOS 11.1.2 is what’s installed currently."",""support_text"":""@790005 Thanks for clarifying. Let's go ahead and meet in DM and we'll continue to look into this. https://t.co/GDrqU22YpT"",""score"":33.241872326187206},{""customer_text"":""@AppleSupport My Mail is connected to 2 Gmail accounts, a Protonmail account (over Protonmail Bridge), and 2 accounts I don't use often: an Exchange account and an iCloud account. I realized just now that my Mail Toolbar has also been reset to default settings."",""support_text"":""@793354 Thank you. Are you seeing this happen with all accounts or just certain ones? Reach out to us in DM and let us know. https://t.co/GDrqU22YpT"",""score"":29.5709286691947}]"
849941,@115858 your #highsierra sucks! I lost a whole day work because since the update my MacBook Air keeps turning off.,ios_update_issue,ios_update_issue,human,auto,"Hi @115858, sorry to hear your MacBook Air keeps turning off after the High Sierra update. Could you let us know when it happens—does it happen during use, when idle, or after a certain time? Any error messages or logs? We’ll look into this together. DM us for more details.","[{""customer_text"":""@AppleSupport Day 1 Nov 24\nDay 2 nov 25\nDay 3 nov 26\nDay 4 nov 27\nDay 5 nov 28\nDay 6 nov 29\nDay 7 nov 30\nDay 8 dec 1\nDay 9 dec 2\nDay 10, today, Dec 3. Still nothing. 😡"",""support_text"":""@150178 Thanks for letting us know. Let's look into your support options. DM us your location and we'll get started on getting you that badge. https://t.co/GDrqU22YpT"",""score"":49.83392372730726},{""customer_text"":""@AppleSupport my MacBook keeps randomly turning the screen black and turning my music off whilst I am using it, but it's not turning off 1/2"",""support_text"":""@361578 Send us a DM and we'll take a closer look into this with you. https://t.co/GDrqU22YpT"",""score"":35.18183221264728},{""customer_text"":""Hey @115858 - your support person disconnected in the middle of helping me, the #HighSierra update isn’t installing, I’ve lost a whole day of work, plus some now, &amp; I have to go into a store, which have no appointment this AM so I lose even more time @AppleSupport"",""support_text"":""@638152 We're sorry to hear that we were disconnected, but maybe we can help you here. Were you able to get help for your computer? If not, let's go into DM and see what we can do. https://t.co/GDrqU22YpT"",""score"":33.837261334057786}]"
1632396,My phone refuses to cool down since the new iOS update. @115858 is clearly wanting me to upgrade 🙄.,device_performance,device_performance,human,auto,"Hi @115858, we want your phone to run smoothly. Did the overheating start after updating to iOS 11? What iPhone model and iOS version are you on? DM us with details: https://t.co/GDrqU22YpT","[{""customer_text"":""Right, iOS 11 slows down my phone 6s and drains battery . High sierra simply shuts down the Mac Pro ! Not cool @AppleSupport NOT cool #fail"",""support_text"":""@619017 We want your devices working properly after an update. DM us with details, and we'll work together to find a solution: https://t.co/GDrqU22YpT"",""score"":29.83172316387713},{""customer_text"":""It’s so fun and cool when your phone starts resetting and freaking out at 4am, @115858. Even more fun and cool when you use your phone as an alarm clock so you have to fix it in the middle of the night. JUST SO FUN AND COOL."",""support_text"":""@248002 We want to help. We just released a new update iOS 11.2. Please update and let us know if the issue persists. https://t.co/osZOKKTalm"",""score"":28.43997563360068},{""customer_text"":""3 @115858 iOS updates.  Yet my phone issues from the first iOS 11 update still exist. Why does my phone freeze? Why does my lock button no longer work?  Why does my phone speaker sporadically work?  Why must I reset my phone 2-3 Times a week?  All because of the iOS 11 update."",""support_text"":""@789720 We want your iPhone to work seamlessly with iOS 11.1.1. Let's get to the bottom of this together. Did these issues begin after updating to iOS 11? What kind of iPhone do you have, and what's the exact iOS version it's running curently? DM us with details here: https://t.co/GDrqU22YpT"",""score"":27.5559577084275}]"
872728,"Desde que actualicé a iOS 11 el teléfono está re lento, mas que nada cuando escribo. Gracias @AppleSupport",ios_update_issue,ios_update_issue,human,auto,We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,"[{""customer_text"":""Aaayyy @AppleSupport ya no se que hacer con la lerditud del #iPhone. \n- que la batería \n- que el emoticon en WhatsApp \n- que el emoticon en Twitter \n- que la conección Bluetooth en el carro y la música sale trastornada"",""support_text"":""@341871 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs"",""score"":83.67819738447457},{""customer_text"":""Hasta cuándo van a arreglar los problemas con el iOS, @115858? De pronto, mi teléfono ya no reconoce el \""touch\"" y ni puedo hacer nada hasta que re-inicio! Dijeron en la última actualización que este problema@se iba a solucionar y NADA."",""support_text"":""@765674 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs"",""score"":80.3553459657497},{""customer_text"":""@115858 La nueva actualización iOS 11.1.1 está haciendo que el teléfono no soporte aplicaciones y estas se cierren. Esperamos la pronta solución a este y otros problemas que se han suscitado y que han mermado la calidad de los productos de la marca constantemente"",""support_text"":""@700481 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs"",""score"":74.35015234296837}]"
865900,"@AppleSupport I have a problem with a print product I ordered through Photos for Mac OS, what’s the best point of contact?",product_order_issue,product_order_issue,human,human,Thanks for reaching out. Please DM us so we can help you with your print order.,"[{""customer_text"":""@115858 I've a problem, the mac isnt overheat but the fan is on max, not only that it's turn on as soon as i start up the mac and tht it make the mac run reallt slow Went to the genius bar they reset my whole laptop problem solve but when im home the laptop still have the problem"",""support_text"":""@258662 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT"",""score"":29.76283857929435},{""customer_text"":""ASAP!!!⚠️⚠️⚠️🚨🚨🚨Since there’s a problem about ROOT... how can I uninstall MAC OS HIGH SIEERA and go back to my old MAC OS???? @AppleSupport @116333"",""support_text"":""@812666 We want to help. Join us in DM so we may continue assisting. https://t.co/GDrqU22YpT"",""score"":28.536029915837965},{""customer_text"":""@AppleSupport hello! Hey, i have some problems with my iCloud Library, i cant’t upload my photos to iCloud. Yestarday my icloud library said that the photos upload complete, then i took some photos only 20 photos, and now my iCloud library said that si charging 700 photos 😨 why?"",""support_text"":""@260547 Thanks for reaching out. We'd be happy to help. So we may look into this with you, would you please join us in DM? Let us know which device you're using iCloud Photo Library with. https://t.co/GDrqU22YpT"",""score"":28.369904632975235}]"
768160,@AppleSupport the battery drainage on iOS 11.1 is terrible. Please fix this.,battery_issue,battery_issue,human,auto,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,"[{""customer_text"":""iOS 11\niOS 11.0.1\niOS 11.0.2\niOS 11.0.3\niOS 11.1\nIOS 11.1.1\niOS 11.1.2\nChance Nummer Sieben für Podcasts: vertan.\n@115858 @AppleSupport https://t.co/EW688vVApo"",""support_text"":""@622678 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj"",""score"":42.6527288479856},{""customer_text"":""@AppleSupport it’s high time Apple please fix iOS 11 even with the latest iOS i.e 11.1.1 its still battery hungry.. Also a new issue in Apple Music while playing songs online in Apple Music.. @AppleSupport please please fix.. 😑😒😩 https://t.co/56Vt5wk2dh"",""support_text"":""@661442 Let's get this figured out. Does this happen when you listening to a specific album or song?"",""score"":35.200160680678536},{""customer_text"":""@AppleSupport fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fix the I️ fixit"",""support_text"":""@595731 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9"",""score"":34.48151124571427}]"
1074248,I'd really appreciate if my Macbook Pro would stop electrocuting me whilst charging... @115858,hardware_issue,hardware_issue,human,human,We’re sorry to hear that. Please contact us via DM so we can investigate further.,"[{""customer_text"":""hey @AppleSupport i have a 3rd party charging cable and my iPhone is like\n\ncharging\nnot charging\ncharging for 2 minutes\nnot charging for 1 minute\ncharging for half a second\nnot charging for half a second\n\nit starts getting on my nerves🙄"",""support_text"":""@745295 Is that cable Made for iPhone? You can find more about that here: https://t.co/UL0668bIG2 Let us know in DM to continue. https://t.co/GDrqU22YpT"",""score"":41.31012896990697},{""customer_text"":""@AppleSupport Final cut \""pro\"":— \""Import was aborted due to dropped frames.\""\n\nHow do DM's fix shoddy software. \n\nYour marketing team added the officious \""Pro\"" to everything (Macbook PRO, final cut PRO, logic PRO). Does that make the software professional quality? What does \""pro\"" mean?"",""support_text"":""@317402 We'd be happy to troubleshoot with you in DM. You can use the link below to reach out. https://t.co/GDrqU22YpT"",""score"":38.918977450704574},{""customer_text"":""@AppleSupport Hi - When it stops charging, disconnecting the smart connector makes no difference, you have to disconnect &amp; reconnect the charging cable to get it to start charging again. Have cleaned charging socket &amp; tried different charging cable."",""support_text"":""@660504 Got it. Are you using the iPad Pro Smart Keyboard, or are you using another accessory? Have you had the opportunity to test your iPad Pro with another accessory that uses the Smart Connector? Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT"",""score"":29.507234978504975}]"
