customer_tweet_id,customer_text,actual_intent,predicted_intent,actual_escalation,predicted_escalation
2004305,"@applesupport so y’all just not gon fix these boxes?",general_support,general_support,auto,auto
879308,"@AppleSupport I am speaking to apple support on the phone No Luck yet",general_support,general_support,human,human
874779,"Why won’t my phone auto lock?!! @AppleSupport and yes auto lock is turned on for 30seconds 😩",device_performance,device_performance,human,auto
798835,"@116333 @115858 @115948 I lost my AirPods charging case lifestyle went back to centuries ago, can you send me a new one? 😁 https://t.co/Qi9DFb017L",hardware_issue,product_order_issue,human,human
556144,"@AppleSupport The quality of the photo is greatly degraded after changing the key frame and has been since the iOS 11 betas. Useless feature, IMHO.",ios_update_issue,ios_update_issue,human,auto
1550823,"@115858 THIS UPDATE SUCKS!! IF IT CHANGES MY I TO ANOTHER QUESTION MARK EMOJI IM GONNA LOSE IT!!!!!",ios_update_issue,ios_update_issue,auto,auto
541136,"@AppleSupport my iPhone 7 Plus keeps restarting. What should I do? It’s up to date completely?",device_performance,device_performance,human,auto
1188116,"@AppleSupport iPhone 7 across all email accounts on the mail app. And the device has been restarted",app_issue,app_issue,human,auto
849941,"@115858 your #highsierra sucks! I lost a whole day work because since the update my MacBook Air keeps turning off.",ios_update_issue,device_performance,human,human
1632396,"My phone refuses to cool down since the new iOS update. @115858 is clearly wanting me to upgrade 🙄.",device_performance,ios_update_issue,human,auto
872728,"Desde que actualicé a iOS 11 el teléfono está re lento, mas que nada cuando escribo. Gracias @AppleSupport",ios_update_issue,ios_update_issue,human,auto
865900,"@AppleSupport I have a problem with a print product I ordered through Photos for Mac OS, what’s the best point of contact?",product_order_issue,product_order_issue,human,human
768160,"@AppleSupport the battery drainage on iOS 11.1 is terrible. Please fix this.",battery_issue,battery_issue,human,auto
1074248,"I'd really appreciate if my Macbook Pro would stop electrocuting me whilst charging... @115858",hardware_issue,hardware_issue,human,human
810176,"Ffs constantly my iphone is spasming out or just freezes ...doing my head in @AppleSupport any chance you sort the bugs out and do an update",device_performance,device_performance,human,human
857948,"Please @AppleSupport I really need to stop saying the celebrity borefests and casual sexism of The Sun in my top or trending stories.",app_issue,general_support,auto,auto
875948,"@115858 ios 11 made my phone bug and now its hella slow!! Sos",device_performance,ios_update_issue,human,auto
890577,"Dear @115858 please fix the music function in the control center. I’m begging you. @AppleSupport",app_issue,app_issue,auto,human
926714,"Does the iPhone 5 use the same charging cord as an iPhone 8? Does the 8 have an option of whether to go cordless or not for charging? @115858",general_support,general_support,auto,auto
554825,"@AppleSupport my 6s constantly freezes/closes out of apps and gives me the dashed spinning white circle. This happens multiple times a day. I’ve done multiple hard resets and no luck. I’m also out of the country so I can’t call the US roll free number",device_performance,device_performance,human,human
1512111,"A fish in the Mississippi is going to be the proud new owner of an iPhone if you don’t fix this I️ business @115858",device_performance,general_support,human,auto
770103,"#IOS11 Worst IOS ever. My phone works like shit. How can you release this? You are @115858 @AppleSupport",ios_update_issue,ios_update_issue,human,auto
550850,"@AppleSupport Of course. I am using an iPhone SE running iOS 11.2 and I am sending SMS text messages.",app_issue,general_support,auto,auto
877396,"@AppleSupport Hi guys, I think the battery in my iPhone 5S is swollen from what I've read online. What do I do?",battery_issue,hardware_issue,human,human
